load_1,load_2,load_3,load_4
0.591027073,0.452511663,0.536331794,0.490290365
0.540047097,0.424138019,0.49108163,0.452879131
0.50243223,0.409377665,0.46114943,0.426821329
0.481997908,0.403568724,0.442582769,0.412342759
0.473551159,0.416449146,0.436030776,0.416997568
0.483584376,0.437986458,0.448328052,0.440152391
0.498035667,0.474283808,0.470640542,0.475737035
0.529538141,0.520375419,0.500524135,0.524663283
0.582692205,0.571615692,0.546375822,0.588545804
0.632945998,0.623516701,0.596075856,0.649260725
0.697928847,0.670907324,0.652120356,0.705723105
0.766092937,0.725993838,0.713323032,0.754757882
0.828339402,0.777348356,0.774991561,0.807390231
0.88311394,0.822144323,0.835414749,0.852693388
0.925061788,0.856818953,0.881173358,0.881445574
0.948038211,0.883656743,0.913648622,0.905832793
0.963848123,0.905136821,0.949553461,0.926201923
0.987067528,0.912686858,0.974526284,0.93665429
1,0.898307463,0.977009418,0.917317094
0.967442952,0.834406621,0.940730984,0.862470271
0.898394114,0.774346047,0.869927628,0.791665659
0.863506591,0.719094815,0.827352878,0.726472657
0.814756367,0.644983797,0.76284323,0.645432893
0.74267581,0.575362221,0.687463886,0.569687541
0.669529727,0.527765233,0.61746412,0.511359189
0.616625258,0.491411318,0.566081158,0.468803623
0.582686805,0.469806895,0.529567855,0.441763065
0.551361477,0.458744004,0.508189259,0.426650739
0.541544938,0.466958107,0.495881946,0.430938952
0.538213707,0.483945905,0.502102958,0.450006638
0.553853542,0.520264729,0.519992541,0.485148004
0.573572106,0.576171814,0.54757965,0.535753283
0.640034862,0.647540962,0.597124225,0.603020693
0.7008307,0.721453779,0.659159603,0.67394868
0.761779507,0.790333935,0.725147284,0.734203822
0.830434353,0.850252205,0.790081983,0.790421577
0.884565705,0.903523229,0.851713686,0.839747831
0.936143945,0.935949849,0.905863595,0.882068914
0.955122079,0.95333707,0.93831343,0.910965755
0.965839389,0.969451312,0.960051099,0.931410634
0.978427893,0.989345125,0.982232005,0.946813823
0.99640957,0.999520382,1,0.947933778
0.99628049,0.983708536,0.996888465,0.922768592
0.954245304,0.925629957,0.957359577,0.870429112
0.896667224,0.86803172,0.893779868,0.805460394
0.854411826,0.812647768,0.853908617,0.746995298
0.816952711,0.739198186,0.797371729,0.672363714
0.755645354,0.664121153,0.727880418,0.604213543
0.688358397,0.605475273,0.663787367,0.546554578
0.638251458,0.56906888,0.617661572,0.509311638
0.599976096,0.529584429,0.575829175,0.476058385
0.568002329,0.507373911,0.544914798,0.455806304
0.547922642,0.498042761,0.522293918,0.448480322
0.533512478,0.487889998,0.509269546,0.447583271
0.537209443,0.501116023,0.503132279,0.46009896
0.550564589,0.547917412,0.513106115,0.50510963
0.598160237,0.613249819,0.56096115,0.57530838
0.663373874,0.687862473,0.629884449,0.649176155
0.74024863,0.764334416,0.711097921,0.722704225
0.817215523,0.82905106,0.792792891,0.786448414
0.876221502,0.884109632,0.860553006,0.840158832
0.926950832,0.923920589,0.914124262,0.883496114
0.947724732,0.942780971,0.948750923,0.911265189
0.960138649,0.9549601,0.96694955,0.929503802
0.967286185,0.957993961,0.972166542,0.933831517
0.971587118,0.949277904,0.977528851,0.925394737
0.956052655,0.914195643,0.962260959,0.890115668
0.931664204,0.893393072,0.936015873,0.860978621
0.908276423,0.874076977,0.914175352,0.829273381
0.89095718,0.823866312,0.893382431,0.7777306
0.854837131,0.758267549,0.838481762,0.702639889
0.791670862,0.690485481,0.770188854,0.630953272
0.722062653,0.633752989,0.703395125,0.57020123
0.566554707,0.496051163,0.52710143,0.539468799
0.530017983,0.471493232,0.492957214,0.508712047
0.510865762,0.460731076,0.471269153,0.491074681
0.501340325,0.458093473,0.460154969,0.48454753
0.490818051,0.454688247,0.45556811,0.483066021
0.49222787,0.468339803,0.453249824,0.489438183
0.492408935,0.513365407,0.458755329,0.526619544
0.534950827,0.57105821,0.504803339,0.601604592
0.593482303,0.628283322,0.571003538,0.671493829
0.650265531,0.678162915,0.6349082,0.728422813
0.699653411,0.722165549,0.69563616,0.770721629
0.7471957,0.766079912,0.754055909,0.799881285
